shipment_id,customer_id,origin_port,destination_port,departure_date,arrival_date,shipment_status,cargo_type,weight_tons,volume_cbm,revenue,cost
SHP000001,CUST001785,Rotterdam Port,Shanghai Port,2022-12-01,2022-04-11,Delivered,Electronics,153.68,269.47,176269.7,80941.64
SHP000002,CUST001904,Lagos Port,Los Angeles Port,2024-08-28,2023-11-03,Delayed,Food,193.0,56.52,199342.63,33641.51
SHP000003,CUST001380,Rotterdam Port,Singapore Port,2022-09-29,2024-10-19,Delivered,Oil,196.44,413.16,24311.41,126294.72
SHP000004,CUST001781,Los Angeles Port,Lagos Port,2024-12-15,2022-03-21,Delivered,Food,178.33,382.34,152513.05,19304.55
SHP000005,CUST000101,Hamburg Port,Dubai Port,2022-01-01,2022-06-16,Delivered,Textiles,51.8,336.26,52244.57,68668.59
SHP000006,CUST002379,Hamburg Port,Hamburg Port,2023-09-15,2024-01-02,Delayed,Food,110.75,446.23,32231.92,114768.14
SHP000007,CUST002844,Durban Port,Rotterdam Port,2024-09-17,2022-06-12,Delivered,Textiles,177.62,176.4,131962.36,87817.2
SHP000008,CUST001301,Rotterdam Port,Hamburg Port,2023-09-09,2024-06-14,Delayed,Textiles,6.43,56.55,38827.34,16199.77
SHP000009,CUST001897,Shanghai Port,Dubai Port,2022-08-16,2023-07-14,In Transit,Textiles,199.72,236.34,8984.57,41910.77
SHP000010,CUST002166,Durban Port,Durban Port,2022-04-05,2022-10-15,Delayed,Oil,55.64,40.93,53385.48,60486.81
SHP000011,CUST002970,Durban Port,Rotterdam Port,2024-02-21,2024-07-02,Delivered,Textiles,126.93,249.74,195134.76,143669.24
SHP000012,CUST000586,Rotterdam Port,Hamburg Port,2024-02-17,2023-08-23,Delayed,Textiles,67.29,157.95,175853.24,77743.11
SHP000013,CUST001413,Los Angeles Port,Dubai Port,2023-08-22,2022-02-19,Delayed,Electronics,13.3,446.47,71159.93,62250.12
SHP000014,CUST001269,Los Angeles Port,Dubai Port,2022-04-13,2024-12-11,Delayed,Food,5.45,224.31,125454.51,11960.72
SHP000015,CUST002583,Dubai Port,Shanghai Port,2022-04-20,2024-01-08,In Transit,Vehicles,128.25,114.73,115822.84,45985.19
SHP000016,CUST000013,Durban Port,Singapore Port,2023-05-20,2022-04-18,Delayed,Vehicles,121.16,253.33,115312.75,95997.54
SHP000017,CUST002016,Durban Port,Durban Port,2024-10-29,2024-04-08,Delayed,Food,82.46,40.48,111094.09,145217.99
SHP000018,CUST002207,Dubai Port,Los Angeles Port,2024-08-07,2022-06-23,Delayed,Electronics,181.57,360.46,116839.73,72799.13
SHP000019,CUST001483,Lagos Port,Dubai Port,2023-06-06,2023-12-03,In Transit,Vehicles,40.33,158.3,151527.2,35628.04
SHP000020,CUST002663,Los Angeles Port,Lagos Port,2023-10-13,2023-09-02,In Transit,Food,162.82,60.61,69214.22,95664.15
SHP000021,CUST000008,Rotterdam Port,Dubai Port,2023-03-18,2022-06-01,Delivered,Vehicles,51.49,256.29,142363.36,37281.08
SHP000022,CUST000507,Singapore Port,Los Angeles Port,2022-01-14,2023-08-21,Delayed,Oil,133.01,116.81,9506.55,136020.5
SHP000023,CUST000299,Shanghai Port,Shanghai Port,2023-05-26,2024-11-10,Delayed,Food,24.3,52.6,49569.58,3038.96
SHP000024,CUST000926,Hamburg Port,Shanghai Port,2023-06-23,2023-12-12,In Transit,Textiles,54.01,318.19,16319.09,49549.7
SHP000025,CUST002858,Hamburg Port,Rotterdam Port,2023-10-01,2024-06-09,Delivered,Textiles,175.66,162.8,116490.23,98247.34
SHP000026,CUST001084,Shanghai Port,Rotterdam Port,2024-12-20,2022-11-27,Delayed,Food,35.89,219.39,181167.14,63237.6
SHP000027,CUST000751,Singapore Port,Singapore Port,2024-06-26,2024-03-04,Delayed,Electronics,178.35,370.7,155306.07,67807.57
SHP000028,CUST000285,Hamburg Port,Lagos Port,2023-07-22,2023-08-18,In Transit,Electronics,14.63,119.37,144553.15,65684.99
SHP000029,CUST002962,Dubai Port,Los Angeles Port,2022-01-08,2022-05-22,In Transit,Food,188.84,21.42,161669.58,20709.84
SHP000030,CUST000117,Lagos Port,Hamburg Port,2024-08-27,2022-11-12,In Transit,Food,185.94,374.4,170282.12,67207.12
SHP000031,CUST000716,Singapore Port,Hamburg Port,2024-10-06,2022-01-15,Delayed,Vehicles,118.58,17.71,58200.62,12727.7
SHP000032,CUST001176,Hamburg Port,Hamburg Port,2024-06-05,2023-12-24,Delivered,Vehicles,100.9,153.92,135781.43,141439.28
SHP000033,CUST002995,Singapore Port,Shanghai Port,2022-08-16,2023-03-10,In Transit,Vehicles,144.31,251.39,28936.8,8524.13
